2020-08-04 07:54:07,049 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="248bb0b16c5f68ab2c49e1b4822fce03")>
2020-08-04 21:27:14,425 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 21:27:16,497 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="ffd82f75e7185fede56b104d888ded5e")>
2020-08-04 21:27:16,503 INFO [page_mis_audit.py(page_mis_audit:55)] - 正在调用组合发布文章审核业务方法，title:test003 channel:数据库
2020-08-04 21:27:16,503 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 21:27:16,504 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 21:27:18,620 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 21:27:18,620 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 21:27:20,785 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 21:27:20,806 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 21:27:20,842 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test003 操作！
2020-08-04 21:27:22,977 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 21:27:22,988 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 21:27:23,021 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 21:27:25,083 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 21:27:25,083 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 21:27:27,170 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 21:27:27,170 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 21:27:29,257 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 21:27:29,257 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 21:27:31,337 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 21:27:31,400 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1284066202271875072
2020-08-04 21:27:31,400 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 21:27:31,417 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 21:27:31,431 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1284066202271875072
2020-08-04 21:27:31,431 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 21:27:33,445 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 21:27:33,445 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 21:27:34,560 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 21:27:34,561 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 21:27:34,665 INFO [page_mis_audit.py(page_assert_audit:80)] - 正在调用组织断言业务操作方法
2020-08-04 21:27:37,665 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 21:27:37,666 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 21:27:39,758 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='审核通过']") 元素执行点击操作！
2020-08-04 21:27:39,759 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='审核通过']")
2020-08-04 21:27:39,909 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 21:27:39,909 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 21:27:39,982 INFO [web_base.py(web_base_is_exist:30)] - 正在调用查找页面是否存在指定元素方法
2020-08-04 21:27:39,982 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='1284066202271875072']")
